파일명,판정,Peak(Hz),Centroid(Hz),Rolloff(Hz),CrestFactor,Flatness,THD,RMS,Skewness,실패사유
F1100_0001_ch1.wav,Pass,100.0,1400.3,100.0,1.5498,0.731874,0.08174,0.070967,0.0002,
F1100_0002_ch1.wav,Pass,100.0,1396.6,100.0,1.5506,0.735345,0.08161,0.070912,-0.0016,
F1100_0003_ch1.wav,Pass,100.0,1396.9,100.0,1.5528,0.734210,0.08168,0.070832,0.0000,
F1100_0004_ch1.wav,Pass,100.0,1394.9,100.0,1.5505,0.731476,0.08157,0.070916,-0.0009,
F1100_0005_ch1.wav,Pass,100.0,1392.1,100.0,1.5490,0.733249,0.08139,0.070984,-0.0018,
F1100_0006_ch1.wav,Pass,100.0,1393.5,100.0,1.5512,0.738393,0.08174,0.070904,-0.0001,
F1100_0007_ch1.wav,Pass,100.0,1397.3,100.0,1.5511,0.732292,0.08191,0.070887,0.0003,
F1100_0008_ch1.wav,Pass,100.0,1403.3,100.0,1.5506,0.737840,0.08192,0.070909,0.0012,
F1100_0009_ch1.wav,Pass,100.0,1397.5,100.0,1.5505,0.735955,0.08207,0.070895,0.0003,
F1100_0010_ch1.wav,Pass,100.0,1406.3,100.0,1.5477,0.735940,0.08157,0.070967,0.0000,
F1100_0011_ch1.wav,Pass,100.0,1398.5,100.0,1.5508,0.734100,0.08132,0.070880,-0.0001,
F1100_0012_ch1.wav,Pass,100.0,1404.6,100.0,1.5495,0.734821,0.08148,0.070981,-0.0014,
F1100_0013_ch1.wav,Pass,100.0,1409.4,100.0,1.5506,0.736569,0.08171,0.070913,0.0003,
F1100_0014_ch1.wav,Pass,100.0,1397.5,100.0,1.5491,0.735803,0.08183,0.070981,0.0006,
F1100_0015_ch1.wav,Pass,100.0,1397.1,100.0,1.5490,0.734829,0.08184,0.071006,0.0010,
F1100_0016_ch1.wav,Pass,100.0,1403.3,100.0,1.5500,0.729768,0.08201,0.070937,-0.0008,
F1100_0017_ch1.wav,Pass,100.0,1400.0,100.0,1.5498,0.738448,0.08181,0.070945,-0.0002,
F1100_0018_ch1.wav,Pass,100.0,1396.6,100.0,1.5513,0.735989,0.08174,0.070879,0.0005,
F1100_0019_ch1.wav,Pass,100.0,1403.0,100.0,1.5464,0.732813,0.08138,0.071023,0.0003,
